Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (development),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Bug13,SCRUM-51,10221,Bug,In Progress,SCRUM,AgileQADelivery- Anand B Batch 1 TTP1QESA2519-Group10,software,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,Your first project,High,,Jyoti,712020:ff3fc575-b3a0-470b-9e1d-d5d4bb28aabe,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,30/Jul/25 9:00 PM,30/Jul/25 9:08 PM,30/Jul/25 9:01 PM,,,0,"In the Books section of the Library Management Application, there is no Reset button to clear the search fields and reset the search results. This forces users to manually delete their search inputs and refresh the page to view the complete list of books again, which is inconvenient and unintuitive.",,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,,,,,,,,,SCRUM-37,,,,,,,,,0|i00087:,Sprint 2,,,,,10200,SCRUM-34,Library Automation,In Progress,30/Jul/25 9:08 PM
Bug12,SCRUM-50,10220,Bug,In Progress,SCRUM,AgileQADelivery- Anand B Batch 1 TTP1QESA2519-Group10,software,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,Your first project,High,,Jyoti,712020:ff3fc575-b3a0-470b-9e1d-d5d4bb28aabe,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,30/Jul/25 8:59 PM,30/Jul/25 9:08 PM,30/Jul/25 9:02 PM,,,0,"The search bar in the Books section does not include any label, placeholder text, or indication of what fields are searchable (e.g., Book Name, Author). This omission makes it unclear to users how to use the search function effectively.",,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,,,,,,,,,SCRUM-37,,,,,,,,,0|i0007z:,Sprint 2,,,,,10200,SCRUM-34,Library Automation,In Progress,30/Jul/25 9:08 PM
Bug11,SCRUM-49,10219,Bug,In Progress,SCRUM,AgileQADelivery- Anand B Batch 1 TTP1QESA2519-Group10,software,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,Your first project,High,,Jyoti,712020:ff3fc575-b3a0-470b-9e1d-d5d4bb28aabe,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,30/Jul/25 8:56 PM,30/Jul/25 9:08 PM,30/Jul/25 8:57 PM,,,0,"When searching for a nonexistent book in the Books section, the system does not display a friendly “No books found” message. Instead, it either shows a blank page, stale results from previous searches, or an unclear error, causing confusion for the user.",,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,,,,,,,,,SCRUM-37,,,,,,,,,0|i0007r:,Sprint 2,,,,,10200,SCRUM-34,Library Automation,In Progress,30/Jul/25 9:08 PM
Bug10,SCRUM-48,10218,Bug,In Progress,SCRUM,AgileQADelivery- Anand B Batch 1 TTP1QESA2519-Group10,software,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,Your first project,High,,Esha Kundu,712020:09cc7ec0-5c58-4ad0-a553-6a55e3216de1,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,30/Jul/25 8:43 PM,30/Jul/25 9:08 PM,30/Jul/25 8:45 PM,,,0,Searching of all available books by a selected age group not working instead asking for all other field values.,,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,,,,,,,,,SCRUM-35,,,,,,30/Jul/25 8:43 PM;1e39acb4-a4a7-411d-a9af-b8b47cefbbd4;Bug 10 Part 1.png;https://cognizant-team-oxhkn889.atlassian.net/rest/api/3/attachment/content/10081,30/Jul/25 8:43 PM;1e39acb4-a4a7-411d-a9af-b8b47cefbbd4;Bug 10 Part 2.png;https://cognizant-team-oxhkn889.atlassian.net/rest/api/3/attachment/content/10080,,0|i0007j:,Sprint 2,,,,,10200,SCRUM-34,Library Automation,In Progress,30/Jul/25 9:08 PM
Bug9,SCRUM-47,10217,Bug,In Progress,SCRUM,AgileQADelivery- Anand B Batch 1 TTP1QESA2519-Group10,software,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,Your first project,High,,Esha Kundu,712020:09cc7ec0-5c58-4ad0-a553-6a55e3216de1,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,30/Jul/25 8:41 PM,30/Jul/25 9:08 PM,30/Jul/25 8:41 PM,,,0,Searching of all available books by a selected book format not working instead asking for all other field values.,,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,,,,,,,,,SCRUM-35,,,,,,30/Jul/25 8:41 PM;1e39acb4-a4a7-411d-a9af-b8b47cefbbd4;Bug 9 Part 1.png;https://cognizant-team-oxhkn889.atlassian.net/rest/api/3/attachment/content/10078,30/Jul/25 8:41 PM;1e39acb4-a4a7-411d-a9af-b8b47cefbbd4;Bug 9 Part 2.png;https://cognizant-team-oxhkn889.atlassian.net/rest/api/3/attachment/content/10079,,0|i0007b:,Sprint 2,,,,,10200,SCRUM-34,Library Automation,In Progress,30/Jul/25 9:08 PM
Bug8,SCRUM-46,10216,Bug,In Progress,SCRUM,AgileQADelivery- Anand B Batch 1 TTP1QESA2519-Group10,software,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,Your first project,High,,Esha Kundu,712020:09cc7ec0-5c58-4ad0-a553-6a55e3216de1,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,30/Jul/25 8:36 PM,30/Jul/25 9:08 PM,30/Jul/25 8:38 PM,,,0,Searching of all available books by a selected subject not working instead asking for all other field values.,,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,,,,,,,,,SCRUM-35,,,,,,30/Jul/25 8:36 PM;1e39acb4-a4a7-411d-a9af-b8b47cefbbd4;Bug 8 Part 1.png;https://cognizant-team-oxhkn889.atlassian.net/rest/api/3/attachment/content/10076,30/Jul/25 8:36 PM;1e39acb4-a4a7-411d-a9af-b8b47cefbbd4;Bug 8 Part 2.png;https://cognizant-team-oxhkn889.atlassian.net/rest/api/3/attachment/content/10077,,0|i00073:,Sprint 2,,,,,10200,SCRUM-34,Library Automation,In Progress,30/Jul/25 9:08 PM
Bug7,SCRUM-45,10215,Bug,In Progress,SCRUM,AgileQADelivery- Anand B Batch 1 TTP1QESA2519-Group10,software,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,Your first project,High,,Esha Kundu,712020:09cc7ec0-5c58-4ad0-a553-6a55e3216de1,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,30/Jul/25 8:34 PM,30/Jul/25 9:08 PM,30/Jul/25 8:34 PM,,,0,Searching of all available books by a selected author not working instead asking for all other field values.,,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,,,,,,,,,SCRUM-35,,,,,,30/Jul/25 8:34 PM;1e39acb4-a4a7-411d-a9af-b8b47cefbbd4;Bug 7 Part 1.png;https://cognizant-team-oxhkn889.atlassian.net/rest/api/3/attachment/content/10074,30/Jul/25 8:34 PM;1e39acb4-a4a7-411d-a9af-b8b47cefbbd4;Bug 7 Part 2.png;https://cognizant-team-oxhkn889.atlassian.net/rest/api/3/attachment/content/10075,,0|i0006v:,Sprint 2,,,,,10200,SCRUM-34,Library Automation,In Progress,30/Jul/25 9:08 PM
Bug6,SCRUM-44,10214,Bug,In Progress,SCRUM,AgileQADelivery- Anand B Batch 1 TTP1QESA2519-Group10,software,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,Your first project,High,,Esha Kundu,712020:09cc7ec0-5c58-4ad0-a553-6a55e3216de1,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,30/Jul/25 8:31 PM,30/Jul/25 9:08 PM,30/Jul/25 8:31 PM,,,0,System does not display an appropriate error message when a non-existent book is searched.,,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,,,,,,,,,SCRUM-35,,,,,,30/Jul/25 8:31 PM;1e39acb4-a4a7-411d-a9af-b8b47cefbbd4;Bug 6 Part 1.png;https://cognizant-team-oxhkn889.atlassian.net/rest/api/3/attachment/content/10072,30/Jul/25 8:31 PM;1e39acb4-a4a7-411d-a9af-b8b47cefbbd4;Bug 6 Part 2.png;https://cognizant-team-oxhkn889.atlassian.net/rest/api/3/attachment/content/10073,,0|i0006n:,Sprint 2,,,,,10200,SCRUM-34,Library Automation,In Progress,30/Jul/25 9:08 PM
Bug5,SCRUM-43,10213,Bug,In Progress,SCRUM,AgileQADelivery- Anand B Batch 1 TTP1QESA2519-Group10,software,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,Your first project,High,,Sumana Manna,712020:dbee9013-1db6-4f42-ae9a-c7f5d3721087,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,30/Jul/25 8:18 PM,30/Jul/25 9:08 PM,30/Jul/25 8:29 PM,,,0,"System does not check for invalid user name. Whatever is written in the “Your Name” field, it shows no error message and form got submitted and shows “Message sent successfully”",,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,,,,,,,,,SCRUM-36,,,,,,30/Jul/25 8:18 PM;1e39acb4-a4a7-411d-a9af-b8b47cefbbd4;Screenshot 2025-07-01 152005.png;https://cognizant-team-oxhkn889.atlassian.net/rest/api/3/attachment/content/10071,,,0|i0006f:,Sprint 2,,,,,10200,SCRUM-34,Library Automation,In Progress,30/Jul/25 9:08 PM
Bug4,SCRUM-42,10212,Bug,In Progress,SCRUM,AgileQADelivery- Anand B Batch 1 TTP1QESA2519-Group10,software,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,Your first project,High,,Sumana Manna,712020:dbee9013-1db6-4f42-ae9a-c7f5d3721087,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,30/Jul/25 8:17 PM,30/Jul/25 9:08 PM,30/Jul/25 8:29 PM,,,0,System does not show any error message for invalid email id rather form is submitted for invalid mail id also,,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,,,,,,,,,SCRUM-36,,,,,,30/Jul/25 8:17 PM;1e39acb4-a4a7-411d-a9af-b8b47cefbbd4;Screenshot 2025-07-01 151516.png;https://cognizant-team-oxhkn889.atlassian.net/rest/api/3/attachment/content/10070,,,0|i00067:,Sprint 2,,,,,10200,SCRUM-34,Library Automation,In Progress,30/Jul/25 9:08 PM
Bug3,SCRUM-41,10211,Bug,In Progress,SCRUM,AgileQADelivery- Anand B Batch 1 TTP1QESA2519-Group10,software,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,Your first project,High,,Sumana Manna,712020:dbee9013-1db6-4f42-ae9a-c7f5d3721087,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,30/Jul/25 8:14 PM,30/Jul/25 9:08 PM,30/Jul/25 8:26 PM,,,0,The system does not check if phone number is valid or not in chat section. Invalid phone number and even any text are got submitted and system shows message “*message sent successfully*”,,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,,,,,,,,,SCRUM-36,,,,,,30/Jul/25 8:14 PM;1e39acb4-a4a7-411d-a9af-b8b47cefbbd4;Screenshot 2025-07-01 151325.png;https://cognizant-team-oxhkn889.atlassian.net/rest/api/3/attachment/content/10069,,,0|i0005z:,Sprint 2,,,,,10200,SCRUM-34,Library Automation,In Progress,30/Jul/25 9:08 PM
Bug2,SCRUM-40,10210,Bug,In Progress,SCRUM,AgileQADelivery- Anand B Batch 1 TTP1QESA2519-Group10,software,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,Your first project,High,,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,30/Jul/25 8:07 PM,30/Jul/25 9:08 PM,30/Jul/25 8:25 PM,,,0,Members getting added with same card numbers in different membership types.,,Shreetama Das,712020:9624a0db-173b-4a37-98de-364baf97607f,,,,,,,,,SCRUM-38,,,,,,30/Jul/25 8:07 PM;1e39acb4-a4a7-411d-a9af-b8b47cefbbd4;Screenshot_20250701_122844.png;https://cognizant-team-oxhkn889.atlassian.net/rest/api/3/attachment/content/10068,,,0|hzzzzy:r,Sprint 2,,,,,10200,SCRUM-34,Library Automation,In Progress,30/Jul/25 9:08 PM
